Screen,Element Name,Key,Proposed Text,Translation / Note
Login,Screen Title,login_title,Login করুন,"Log in korun"
Login,Email Field Label,login_email,Email address,Universal tech term
Login,Password Field Label,login_password,Password,Universal tech term
Login,Primary Button,login_button,Login,English action verb
Login,Helper Text,login_helper,আপনার একাউন্টে প্রবেশ করুন,Enter your account
Login,Forgot Password Link,login_forgot,Password ভুলে গেছেন?,Forgot your password?
Login,Sign Up Prompt,login_signup_prompt,একাউন্ট নেই? Sign Up করুন,No account? Sign Up korun
Login,Error - Wrong Credentials,login_error,Email বা password ভুল হয়েছে। আবার চেষ্টা করুন।,Email or password is wrong. Try again.
Sign Up,Screen Title,signup_title,নতুন Account তৈরি করুন,Create a new account
Sign Up,Name Field,signup_name,আপনার নাম,Your name
Sign Up,Email Field,signup_email,Email address,English tech term
Sign Up,Phone Field,signup_phone,মোবাইল নম্বর,Mobile number
Sign Up,Password Field,signup_password,Password দিন,Enter password
Sign Up,Password Hint,signup_password_hint,কমপক্ষে ৮ অক্ষর দিন,Give at least 8 characters
Sign Up,Primary Button,signup_button,Sign Up,English action
Sign Up,Terms Text,signup_terms,Sign Up করলে আপনি আমাদের Terms ও Privacy Policy মেনে নিচ্ছেন,By signing up you agree to our Terms & Privacy Policy
OTP Verification,Screen Title,otp_title,OTP Verification,English — universal tech concept
OTP Verification,Instruction,otp_instruction,আপনার email-এ পাঠানো ৬ সংখ্যার কোডটি দিন,Enter the 6-digit code sent to your email
OTP Verification,Input Placeholder,otp_placeholder,৬ সংখ্যার কোড,6-digit code
OTP Verification,Primary Button,otp_button,Verify,English action
OTP Verification,Resend Prompt,otp_resend,কোড পাননি? Resend করুন,Didn't get the code? Resend korun
OTP Verification,Success Toast,otp_success,সফলভাবে verify হয়েছে!,Successfully verified!
Home,Greeting,home_greeting,স্বাগতম {name}!,"Welcome, {name}!"
Home,Subtitle,home_subtitle,আজ কোন ভাষা শিখবেন?,Which language will you learn today?
Home,Japanese Card,home_japanese,🇯🇵 Japanese শিখুন,Learn Japanese
Home,Korean Card,home_korean,🇰🇷 Korean শিখুন,Learn Korean
Home,English Card,home_english,🇬🇧 English শিখুন,Learn English
Home,German Card,home_german,🇩🇪 German শিখুন,Learn German
Home,Continue Button,home_continue,শেখা চালিয়ে যান,Continue learning
Home,Nav - Home,nav_home,Home,English nav label
Home,Nav - Courses,nav_courses,Courses,English nav label
Home,Nav - Profile,nav_profile,Profile,English nav label
Course List,Screen Title,course_list_title,Courses,English
Course List,Search Placeholder,course_list_search,Course খুঁজুন...,Search for a course...
Course List,Filter Label,course_list_filter,Level বাছাই করুন,Select a level
Course List,Beginner Tag,course_list_beginner,শুরুর ধাপ,Beginning step
Course List,Intermediate Tag,course_list_intermediate,মাঝামাঝি ধাপ,Middle step
Course List,Lesson Count,course_list_lesson_count,{n}টি Lesson,{n} Lessons
Course List,Empty State,course_list_empty,এখনো কোনো course যোগ হয়নি,No courses added yet
SRS Flashcard Review,Screen Title,srs_title,Flashcard Review,English tech term
SRS Flashcard Review,Instruction,srs_instruction,"কার্ডটি দেখুন, তারপর উল্টান","Look at the card, then flip it"
SRS Flashcard Review,Flip Button,srs_flip,উল্টান,Flip
SRS Flashcard Review,Rating Prompt,srs_rating_prompt,কতটুকু মনে ছিল?,How much did you remember?
SRS Flashcard Review,Forgot Button,srs_forgot,ভুলে গেছি 😅,I forgot
SRS Flashcard Review,Hard Button,srs_hard,কঠিন ছিল,It was hard
SRS Flashcard Review,Easy Button,srs_easy,সহজ ছিল ✨,It was easy
SRS Flashcard Review,Cards Remaining,srs_remaining,আর {n}টি বাকি,{n} more remaining
SRS Flashcard Review,Session Complete Title,srs_complete_title,🎉 আজকের Review শেষ!,Today's review is done!
SRS Flashcard Review,Session Complete Subtitle,srs_complete_subtitle,দারুণ করেছেন! কাল আবার দেখা হবে।,You did great! See you tomorrow.
SRS Flashcard Review,Stats - Reviewed,srs_stats_reviewed,Review করেছেন: {n}টি,Reviewed: {n}
SRS Flashcard Review,Stats - Accuracy,srs_stats_accuracy,সঠিক উত্তর: {n}%,Correct answers: {n}%
Kana Chart,Screen Title,kana_title,Kana Chart,English tech term
Kana Chart,Subtitle,kana_subtitle,হিরাগানা ও কাতাকানা সব অক্ষর,All Hiragana and Katakana characters
Kana Chart,Tab - Hiragana,kana_tab_hiragana,হিরাগানা,Bengali transliteration
Kana Chart,Tab - Katakana,kana_tab_katakana,কাতাকানা,Bengali transliteration
Kana Chart,Mnemonic Label,kana_mnemonic,মনে রাখার কৌশল,Memory trick
Kana Chart,Tap Hint,kana_tap_hint,অক্ষরে ট্যাপ করে উচ্চারণ শুনুন,Tap a character to hear pronunciation
Kana Chart,Start Review Button,kana_start_review,Review শুরু করুন,Start Review
Kana Chart,Mastered Count,kana_mastered,আয়ত্তে আছে: {n}টি,Mastered: {n}
Kana Chart,Remaining Count,kana_remaining,বাকি আছে: {n}টি,Remaining: {n}
Kana Chart,Detail - Romaji,kana_romaji,Romaji: {value},English label
Kana Chart,Detail - Stroke Order,kana_stroke_order,লেখার ক্রম,Writing order
Kana Chart,Detail - Example Word,kana_example,উদাহরণ শব্দ,Example word
Lesson + Video,Screen Title,lesson_title,Lesson {n},English
Lesson + Video,Lesson Subtitle,lesson_subtitle,পাঠ বিবরণী,Lesson description
Lesson + Video,Video Section Title,lesson_video_title,ভিডিও দেখুন,Watch the video
